uf_abbr;municipality;direto;url_pagina;SIG_link
MG;Lagoa Grande;1;https://gd.sgb.gov.br/suscetibilidade/lagoa_grande/sig_lagoa_grande_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/lagoa_grande/sig_lagoa_grande_mg_suscet.zip
SC;Lajeado Grande;1;https://gd.sgb.gov.br/suscetibilidade/lajeado_grande/sig_lajeado_grande_sc_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/lajeado_grande/sig_lajeado_grande_sc_suscet.zip
MG;Lajinha;1;https://gd.sgb.gov.br/suscetibilidade/lajinha/sig_lajinha_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/lajinha/sig_lajinha_mg_suscet.zip
MG;Manhuaçu;1;https://gd.sgb.gov.br/suscetibilidade/manhuacu/sig_manhuacu_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/manhuacu/sig_manhuacu_mg_suscet.zip
MG;Manhumirim;1;https://gd.sgb.gov.br/suscetibilidade/manhumirim/sig_manhumirim_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/manhumirim/sig_manhumirim_mg_suscet.zip
MG;Mantena;1;https://gd.sgb.gov.br/suscetibilidade/mantena/sig_mantena_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/mantena/sig_mantena_mg_suscet.zip
MG;Mariana;1;https://gd.sgb.gov.br/suscetibilidade/mariana/sig_mariana_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/mariana/sig_mariana_mg_suscet.zip
SP;Marília;1;https://gd.sgb.gov.br/suscetibilidade/marilia/sig_marilia_sp_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/marilia/sig_marilia_sp_suscet.zip
MG;Matias Barbosa;1;https://gd.sgb.gov.br/suscetibilidade/matias_barbosa/sig_matias_barbosa_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/matias_barbosa/sig_matias_barbosa_mg_suscet.zip
SC;Meleiro;1;https://gd.sgb.gov.br/suscetibilidade/meleiro/sig_meleiro_sc_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/meleiro/sig_meleiro_sc_suscet.zip
RJ;Miguel Pereira;1;https://gd.sgb.gov.br/suscetibilidade/miguel_pereira/sig_miguel_pereira_rj_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/miguel_pereira/sig_miguel_pereira_rj_suscet.zip
MG;Montes Claros;1;https://gd.sgb.gov.br/suscetibilidade/montes_claros/sig_montes_claros_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/montes_claros/sig_montes_claros_mg_suscet.zip
MG;Muriaé;1;https://gd.sgb.gov.br/suscetibilidade/muriae/sig_muriae_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/muriae/sig_muriae_mg_suscet.zip
MG;Mutum;1;https://gd.sgb.gov.br/suscetibilidade/mutum/sig_mutum_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/mutum/sig_mutum_mg_suscet.zip
RJ;Nova Friburgo;1;https://gd.sgb.gov.br/suscetibilidade/nova_friburgo/sig_nova_friburgo_rj_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/nova_friburgo/sig_nova_friburgo_rj_suscet.zip
SC;Nova Itaberaba;1;https://gd.sgb.gov.br/suscetibilidade/nova_itaberaba/sig_nova_itaberaba_sc_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/nova_itaberaba/sig_nova_itaberaba_sc_suscet.zip
MG;Nova Lima;1;https://gd.sgb.gov.br/suscetibilidade/nova_lima/sig_nova_lima_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/nova_lima/sig_nova_lima_mg_suscet.zip
MG;Novo Cruzeiro;1;https://gd.sgb.gov.br/suscetibilidade/novo_cruzeiro/sig_novo_cruzeiro_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/novo_cruzeiro/sig_novo_cruzeiro_mg_suscet.zip
MG;Ouro Preto;1;https://gd.sgb.gov.br/suscetibilidade/ouro_preto/sig_ouro_preto_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/ouro_preto/sig_ouro_preto_mg_suscet.zip
SC;Palhoça;1;https://gd.sgb.gov.br/suscetibilidade/palhoca/sig_palhoca_sc_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/palhoca/sig_palhoca_sc_suscet.zip
RJ;Paraty;1;https://gd.sgb.gov.br/suscetibilidade/paraty/sig_paraty_rj_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/paraty/sig_paraty_rj_suscet.zip
RJ;Paty do Alferes;1;https://gd.sgb.gov.br/suscetibilidade/paty_do_alferes/sig_paty_do_alferes_rj_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/paty_do_alferes/sig_paty_do_alferes_rj_suscet.zip
MG;Periquito;1;https://gd.sgb.gov.br/suscetibilidade/periquito/sig_periquito_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/periquito/sig_periquito_mg_suscet.zip
RJ;Petrópolis;1;https://gd.sgb.gov.br/suscetibilidade/petropolis/sig_petropolis_rj_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/petropolis/sig_petropolis_rj_suscet.zip
RJ;Pinheiral;1;https://gd.sgb.gov.br/suscetibilidade/pinheiral/sig_pinheiral_rj_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/pinheiral/sig_pinheiral_rj_suscet.zip
RJ;Piraí;1;https://gd.sgb.gov.br/suscetibilidade/pirai/sig_pirai_rj_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/pirai/sig_pirai_rj_suscet.zip
MG;Pirapora;1;https://gd.sgb.gov.br/suscetibilidade/pirapora/sig_pirapora_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/pirapora/sig_pirapora_mg_suscet.zip
SP;Pongaí;1;https://gd.sgb.gov.br/suscetibilidade/pongai/sig_pongai_sp_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/pongai/sig_pongai_sp_suscet.zip
