,Municipality
452,São José do Rio Pardo
453,São José do Rio Preto
454,São Bento do Sapucaí
455,São Caetano do Sul
456,São Carlos
457,São Francisco
458,São João da Boa Vista
459,São João das Duas Pontes
460,São João de Iracema
461,São João do Pau d'Alho
462,São Joaquim da Barra
463,São José da Bela Vista
464,São José do Barreiro
465,São José dos Campos
466,São Lourenço da Serra
467,São Luís do Paraitinga
468,São Manuel
469,São Miguel Arcanjo
470,Bragança Paulista
471,Votuporanga
472,Braúna
473,Brodowski
474,Altinópolis
475,Brotas
476,Buri
477,Buritama
478,Anhembi
479,Bauru
480,Artur Nogueira
481,Boa Esperança do Sul
482,Bocaina
483,Boituva
484,São Roque
485,São Vicente
486,Sertãozinho
487,Socorro
488,São Pedro
489,São Pedro do Turvo
490,São Sebastião
491,São Sebastião da Grama
492,São Simão
493,Sarapuí
494,Sarutaiá
495,Sebastianópolis do Sul
496,Serra Azul
497,Serrana
498,Serra Negra
499,Sete Barras
500,Severínia
501,Silveiras
502,Zacarias
503,Chavantes
504,Estiva Gerbi
505,Sorocaba
506,Sumaré
507,Suzano
508,Suzanápolis
509,Taboão da Serra
510,Taciba
511,Taquaritinga
512,Sud Mennucci
513,Americana
514,Tabapuã
515,Atibaia
516,Tabatinga
517,Bebedouro
518,Bertioga
519,Taguaí
520,Taiaçu
521,Taiúva
522,Tambaú
523,Botucatu
524,Tanabi
525,Tapiraí
526,Tapiratiba
527,Taquaral
528,Taquarituba
529,Taquarivaí
530,Tarabaí
531,Tarumã
532,Tatuí
533,Taubaté
534,Ubatuba
535,Tejupá
536,Teodoro Sampaio
537,Terra Roxa
538,Tietê
539,Timburi
540,Torre de Pedra
541,Torrinha
542,Trabiju
543,Tremembé
544,Adamantina
545,Três Fronteiras
546,Tuiuti
547,Tupã
548,Tupi Paulista
549,Turiúba
550,Turmalina
551,Ubarana
552,Ubirajara
553,Uchôa
554,União Paulista
555,Urânia
556,Uru
557,Urupês
558,Valentim Gentil
559,Valinhos
560,Valparaíso
561,Vargem
562,Vargem Grande do Sul
563,Vargem Grande Paulista
564,Borebi
565,Várzea Paulista
566,Vera Cruz
567,Vinhedo
568,Viradouro
569,Vista Alegre do Alto
570,Vitória Brasil
571,Votorantim
572,Araçatuba
573,Adolfo
574,Aguaí
575,Agudos
576,Águas da Prata
577,Águas de Lindóia
578,Águas de Santa Bárbara
579,Águas de São Pedro
580,Alfredo Marcondes
581,Alambari
582,Altair
583,Álvares Machado
584,Alumínio
585,Alto Alegre
586,Álvares Florence
587,Álvaro de Carvalho
588,Alvinlândia
589,Américo Brasiliense
590,Américo de Campos
591,Andradina
592,Amparo
593,Analândia
594,Angatuba
595,Anhumas
596,Aparecida
597,Aparecida d'Oeste
598,Apiaí
599,Araçariguama
600,Araraquara
601,Araçoiaba da Serra
602,Aramina
603,Arandu
604,Arapeí
605,Avanhandava
606,Areiópolis
607,Araras
608,Ariranha
609,Arealva
610,Areias
611,Arco-Íris
612,Barretos
613,Arujá
614,Assis
615,Barrinha
616,Aspásia
617,Birigui
618,Avaré
619,Avaí
620,Auriflama
621,Bady Bassitt
622,Bálsamo
623,Balbinos
624,Barueri
625,Bariri
626,Bananal
627,Barão de Antonina
628,Barbosa
629,Barra Bonita
630,Barra do Chapéu
631,Barra do Turvo
632,Bernardino de Campos
633,Bento de Abreu
634,Bastos
635,Batatais
636,Bilac
637,Biritiba Mirim
638,Bofete
639,Borborema
640,Bom Jesus dos Perdões
641,Borá
642,Bom Sucesso de Itararé
643,Boracéia
644,Brejo Alegre
